pair_id,initial_delta_A,initial_delta_B,initial_p_breakdown,initial_V_A,initial_V_B,final_delta_A,final_delta_B,final_p_breakdown,final_V_A,final_V_B,final_V_A_star,final_V_B_star,final_score,final_balance_score,final_speed_score
90,0.5831098093023208,0.9299151140515459,0.0265416579026407,0.6621629439585490,0.5002756656891081,0.5112853039196171,0.8923652907760412,0.3221841333178807,0.4999365579290632,0.8267433406132114,0.4999365579290632,0.8267433406132113,0.9370256553886421,0.9998731158581264,0.7903815809598453
91,0.8442337800373133,0.9497079990248772,0.0465922463732840,0.5415105603250052,0.2380366597314844,0.5139523080667139,0.8841000208217402,0.3125763292339941,0.4995019462041246,0.8235244727864430,0.4995019462041246,0.8235244727864430,0.9348866226124437,0.9990038924082492,0.7852796597555644
92,0.7241550122755347,0.9181259448652702,0.2465048139962279,0.1315139267556262,0.2927697949590247,0.5246381755813763,0.9160153546118286,0.3379285902998965,0.4985558320131640,0.8268276605253460,0.4985558320131640,0.8268276605253460,0.9347815863787348,0.9971116640263280,0.7893447385343505
93,0.6928901885263116,0.9729989781294294,0.2427886937868429,0.2226233638241896,0.3920871772014101,0.5165514168347488,0.9392486857196668,0.3663959117547298,0.5028252844274447,0.8354307704844844,0.5028252844274447,0.8354307704844844,0.9376125213484587,0.9943494311451107,0.8052263984896042
94,0.6547258027909807,0.7334399986411476,0.3889848738141488,0.2225223609906076,0.4955208521225056,0.5176685366825616,0.9238607156933744,0.3517326914091177,0.5019830243963160,0.8315407271151853,0.5019830243963160,0.8315407271151853,0.9369278678754772,0.9960339512073679,0.7990136734343989
95,0.8125356446970664,0.5327872787678853,0.1498197925021799,0.5999525126123422,0.3902589690884125,0.5249674729827080,0.9311732955111443,0.3525748356098056,0.4994780529340816,0.8302388216348503,0.4994780529340816,0.8302388216348503,0.9377992598068156,0.9989561058681633,0.7950999523303378
96,0.6836700530656274,0.5501097754312696,0.0260310508710063,0.4616243661893464,0.3872916720859666,0.5114480340015470,0.8948347812448735,0.3256287585555833,0.5007779333870941,0.8272787634153205,0.5007779333870941,0.8272787634153205,0.9364707763396525,0.9984441332258118,0.7918662769386142
97,0.5520719612717285,0.6973325480507248,0.2150149739398512,0.3875850625608537,0.1157328113113529,0.5248538682204082,0.9399032023164609,0.3588101633397359,0.4984318446797595,0.8322622498074373,0.4984318446797595,0.8322622498074372,0.9369608223494280,0.9968636893595191,0.7971874659925489
98,0.5666428330178473,0.6336898038110387,0.2553387247047161,0.5566391728817880,0.8655904182553432,0.5234029871526229,0.9200342251879923,0.3474887745282884,0.5027448105194443,0.8282994126704175,0.5027448105194443,0.8282994126704175,0.9346484432326598,0.9945103789611114,0.7949705931996066
99,0.9717108789837670,0.5915714838533123,0.0558411143144996,0.9701157857825572,0.6091540817780943,0.5100000000000000,0.9581785588272139,0.3506101390958113,0.4781941380138995,0.8172207805733106,0.4758246477854308,0.8424121920615155,0.9076489625107216,0.9563882760277989,0.7939238976375417
