map_type,step,V_A,V_B,exact_V_A_star,exact_V_B_star,delta_A,delta_B,p_breakdown,abs_err_A,abs_err_B
one_step,0,1.0000000000000000,0.0000000000000000,0.6792331116655441,0.5805735535465266,0.9500000000000000,0.8500000000000000,0.3500000000000000,3.2076688833445588e-01,5.8057355354652662e-01
one_step,1,1.0000000000000000,0.3825000000000001,0.6792331116655441,0.5805735535465266,0.9500000000000000,0.8500000000000000,0.3500000000000000,3.2076688833445588e-01,1.9807355354652656e-01
one_step,2,0.7886687500000000,0.3825000000000001,0.6792331116655441,0.5805735535465266,0.9500000000000000,0.8500000000000000,0.3500000000000000,1.0943563833445591e-01,1.9807355354652656e-01
one_step,3,0.7886687500000000,0.5129970468750000,0.6792331116655441,0.5805735535465266,0.9500000000000000,0.8500000000000000,0.3500000000000000,1.0943563833445591e-01,6.7576506671526593e-02
one_step,4,0.7165691316015625,0.5129970468750000,0.6792331116655441,0.5805735535465266,0.9500000000000000,0.8500000000000000,0.3500000000000000,3.7336019936018428e-02,6.7576506671526593e-02
one_step,5,0.7165691316015625,0.5575185612360352,0.6792331116655441,0.5805735535465266,0.9500000000000000,0.8500000000000000,0.3500000000000000,3.7336019936018428e-02,2.3054992310491462e-02
one_step,6,0.6919709949170906,0.5575185612360352,0.6792331116655441,0.5805735535465266,0.9500000000000000,0.8500000000000000,0.3500000000000000,1.2737883251546456e-02,2.3054992310491462e-02
one_step,7,0.6919709949170906,0.5727079106386966,0.6792331116655441,0.5805735535465266,0.9500000000000000,0.8500000000000000,0.3500000000000000,1.2737883251546456e-02,7.8656429078299839e-03
one_step,8,0.6835788793721200,0.5727079106386966,0.6792331116655441,0.5805735535465266,0.9500000000000000,0.8500000000000000,0.3500000000000000,4.3457677065759093e-03,7.8656429078299839e-03
one_step,9,0.6835788793721200,0.5778900419877160,0.6792331116655441,0.5805735535465266,0.9500000000000000,0.8500000000000000,0.3500000000000000,4.3457677065759093e-03,2.6835115588106362e-03
one_step,10,0.6807157518017870,0.5778900419877160,0.6792331116655441,0.5805735535465266,0.9500000000000000,0.8500000000000000,0.3500000000000000,1.4826401362428854e-03,2.6835115588106362e-03
one_step,11,0.6807157518017870,0.5796580232623966,0.6792331116655441,0.5805735535465266,0.9500000000000000,0.8500000000000000,0.3500000000000000,1.4826401362428854e-03,9.1553028413005055e-04
one_step,12,0.6797389421475259,0.5796580232623966,0.6792331116655441,0.5805735535465266,0.9500000000000000,0.8500000000000000,0.3500000000000000,5.0583048198182823e-04,9.1553028413005055e-04
