pair_id,delta_A,delta_B,p_breakdown,V_A_initial,V_B_initial,V_A_step_10,V_B_step_10,V_A_step_100,V_B_step_100,V_A_star,V_B_star,abs_err_A_final,abs_err_B_final
0,0.8814989033068624,0.9080261477774972,0.1821905513766951,0.8736587319818913,0.5180656953996932,0.5545800423755092,0.6004901522366637,0.5539620517097323,0.6006497916817792,0.5539620517097323,0.6006497916817792,0.0000000000000000e+00,0.0000000000000000e+00
1,0.7206616510809851,0.7951660737365701,0.0475431958280920,0.2460569804868254,0.3536339215035808,0.5049677977509130,0.6527023104371450,0.5053415423963967,0.6531340236045535,0.5053415423963968,0.6531340236045535,1.1102230246251565e-16,0.0000000000000000e+00
2,0.9221270015574635,0.6275302786529836,0.2276693706955105,0.4889640742999828,0.0750558303880202,0.7869733697893393,0.4395140093186375,0.7869805239659136,0.4395227587039939,0.7869805239659137,0.4395227587039939,1.1102230246251565e-16,0.0000000000000000e+00
3,0.8447366539484946,0.8679240003169439,0.0625715312133461,0.0297172133564333,0.9909719860358988,0.5178792199080823,0.5900804759658957,0.5239709847621516,0.5850777580596205,0.5239709847621519,0.5850777580596203,2.2204460492503131e-16,2.2204460492503131e-16
4,0.5552051269860718,0.5505508299249946,0.0243833335591424,0.0088801932664488,0.1747737267250484,0.6527995095721244,0.6463962375741454,0.6528023080794709,0.6463982872704785,0.6528023080794709,0.6463982872704785,0.0000000000000000e+00,0.0000000000000000e+00
5,0.9782987287856428,0.8817205605354159,0.1994671333715444,0.7054532209394645,0.2553084749760438,0.6578812242461244,0.4842614218680001,0.6577541323106237,0.4848730857707506,0.6577541323106237,0.4848730857707506,0.0000000000000000e+00,0.0000000000000000e+00
6,0.8753470569553694,0.7931929066766465,0.2621493800186512,0.1182936224656007,0.2359157624946178,0.6667592189873465,0.5693156848297699,0.6667918879365823,0.5693355435505485,0.6667918879365823,0.5693355435505486,0.0000000000000000e+00,1.1102230246251565e-16
7,0.8873108665329378,0.5631601528302728,0.3416589225625573,0.5478082371108176,0.9079414066857031,0.8032026227293458,0.5308066759460005,0.8032026807132837,0.5308065903225179,0.8032026807132837,0.5308065903225179,0.0000000000000000e+00,0.0000000000000000e+00
8,0.5714945436842620,0.5481626702843377,0.3131342215817214,0.6960074822100200,0.7636883927235304,0.7316164600787572,0.7128112423071622,0.7316164602558548,0.7128112420541299,0.7316164602558548,0.7128112420541299,0.0000000000000000e+00,0.0000000000000000e+00
9,0.7261852501898722,0.8704014400495020,0.3428962051026193,0.0322345862296393,0.4573297994393366,0.5887314182972256,0.7190684723511197,0.5887326941878410,0.7190690724442329,0.5887326941878410,0.7190690724442329,0.0000000000000000e+00,0.0000000000000000e+00
10,0.6879830516316390,0.6506092351218419,0.3040275083283562,0.4487413991456820,0.9554230339518591,0.6986743984941894,0.6654626649198560,0.6986744558589020,0.6654625983680471,0.6986744558589020,0.6654625983680470,0.0000000000000000e+00,1.1102230246251565e-16
11,0.9548471946473288,0.9368648883682624,0.2812957587624558,0.6841519369858398,0.0527833807864417,0.6073129033470560,0.5830178893636120,0.6072787929172447,0.5832532713840755,0.6072787929172447,0.5832532713840756,0.0000000000000000e+00,1.1102230246251565e-16
12,0.8190552576387190,0.8757950500944846,0.0040550276562799,0.8897309878548501,0.8936703812216521,0.4577193730008817,0.6472230318287493,0.4428583919058530,0.6387453676310266,0.4428583919058523,0.6387453676310262,7.2164496600635175e-16,4.4408920985006262e-16
13,0.9049255743699984,0.8451313174645038,0.2504409247236842,0.2992301006016564,0.0604273356881592,0.6425944261967047,0.5639732760132273,0.6426681039306714,0.5640813248728958,0.6426681039306715,0.5640813248728959,1.1102230246251565e-16,1.1102230246251565e-16
14,0.7228388154371189,0.6437309052640564,0.0481927216556471,0.9742165296843303,0.3911306959345637,0.6695826301737033,0.5393358557780388,0.6695286425921538,0.5393621208725209,0.6695286425921539,0.5393621208725210,1.1102230246251565e-16,1.1102230246251565e-16
15,0.6190745864566929,0.8502933691303766,0.0234668529330164,0.8445414996596974,0.0540048783764897,0.3411810970211717,0.7932976809004550,0.3406692054808522,0.7940495035099560,0.3406692054808522,0.7940495035099561,5.5511151231257827e-17,1.1102230246251565e-16
16,0.7762006977676007,0.9651108885671204,0.0625648608422622,0.6506350720818543,0.9989689917576853,0.2845113563424841,0.8002005379085053,0.2788273384509722,0.7971146863250719,0.2788273384509721,0.7971146863250718,1.1102230246251565e-16,1.1102230246251565e-16
17,0.5406322829300042,0.5539487204978731,0.3293168645767001,0.3919255072461312,0.9143895025006017,0.7263199544705562,0.7366415018154980,0.7263199551287021,0.7366415014656593,0.7263199551287021,0.7366415014656593,0.0000000000000000e+00,0.0000000000000000e+00
18,0.9072629625564393,0.6665580681617117,0.2975397572400086,0.7111103761994986,0.5847989552462312,0.7579497277240506,0.5169466021389613,0.7579499900009310,0.5169462221998091,0.7579499900009311,0.5169462221998091,1.1102230246251565e-16,0.0000000000000000e+00
19,0.8131989115785911,0.6226426874215651,0.3795089620820850,0.8161932690703534,0.2178445739982455,0.7622509648726250,0.6153813689810476,0.7622509605970296,0.6153814004907596,0.7622509605970296,0.6153814004907596,0.0000000000000000e+00,0.0000000000000000e+00
20,0.8738821152409795,0.6987600645123200,0.3915905034601642,0.3032998748865573,0.2767777251974692,0.7427552172117622,0.6050930639534609,0.7427553701950038,0.6050931782466324,0.7427553701950038,0.6050931782466324,0.0000000000000000e+00,0.0000000000000000e+00
21,0.6801724647023368,0.8663196743298943,0.3573135945495929,0.9928300649070293,0.4495433660571203,0.5858050478189559,0.7439225044834423,0.5858047509423820,0.7439227191981808,0.5858047509423819,0.7439227191981808,1.1102230246251565e-16,0.0000000000000000e+00
22,0.9759350517095535,0.7376364390841855,0.0531704203907997,0.9086193697546390,0.3227801824923457,0.8511416544076960,0.2155427448333656,0.8504121192634375,0.2141816350696905,0.8504121192634375,0.2141816350696905,0.0000000000000000e+00,2.7755575615628914e-17
23,0.9386981382346549,0.7839506909377182,0.3513530963699922,0.4855014403429226,0.0213139054349407,0.7119162811261860,0.5665202920897162,0.7119181143792922,0.5665247065587431,0.7119181143792923,0.5665247065587431,1.1102230246251565e-16,0.0000000000000000e+00
24,0.8836240785954057,0.6607943462776044,0.3354548539154582,0.7228299157753952,0.6562560081171346,0.7557492958453914,0.5562180025506108,0.7557493386293159,0.5562178725354503,0.7557493386293159,0.5562178725354502,0.0000000000000000e+00,1.1102230246251565e-16
25,0.6034265797689444,0.5778188482018083,0.3484343439438790,0.5240088946187819,0.6134279040933013,0.7318435911688432,0.7122595648059382,0.7318435922184899,0.7122595653050768,0.7318435922184899,0.7122595653050769,0.0000000000000000e+00,1.1102230246251565e-16
26,0.7340260817889764,0.6381281514901097,0.0606742468465966,0.7609305521970262,0.9043107032188408,0.6827810736835045,0.5292919140163984,0.6827697102970474,0.5292373841140701,0.6827697102970474,0.5292373841140700,0.0000000000000000e+00,1.1102230246251565e-16
27,0.5310258075778698,0.9226465445961538,0.0467167311093270,0.8269822038779814,0.4768540401054504,0.2173196234177690,0.8899568933627526,0.2171329115959953,0.8900834079115927,0.2171329115959953,0.8900834079115928,0.0000000000000000e+00,1.1102230246251565e-16
28,0.5840589561924230,0.7991601418336370,0.3695235518336327,0.0232225551570425,0.3447089617983878,0.6091716050286312,0.7756814092112545,0.6091716333518278,0.7756814300433000,0.6091716333518278,0.7756814300433000,0.0000000000000000e+00,0.0000000000000000e+00
29,0.8378634975563782,0.6914345631346722,0.0695306596538018,0.0791320297006493,0.5115171829177669,0.7148831374727390,0.4422425738392750,0.7155243615769307,0.4421727028652310,0.7155243615769307,0.4421727028652310,0.0000000000000000e+00,5.5511151231257827e-17
30,0.8674858348357523,0.8891548712330820,0.1474486924170405,0.3364674158767270,0.1946949908958396,0.5500246670151648,0.5915078157948446,0.5506818059183118,0.5927288520421214,0.5506818059183120,0.5927288520421214,1.1102230246251565e-16,0.0000000000000000e+00
31,0.9744046715684208,0.5409395675783563,0.1823939397976241,0.9176136326323495,0.6255403518247864,0.8611549935419525,0.3139462769866509,0.8611533281888823,0.3139370859371052,0.8611533281888823,0.3139370859371052,0.0000000000000000e+00,0.0000000000000000e+00
32,0.6663961719063130,0.6318677222027451,0.0497770111318258,0.3982735831433897,0.7700328827901616,0.6446818024682373,0.5917727928866592,0.6446973542411698,0.5917615422049705,0.6446973542411698,0.5917615422049705,0.0000000000000000e+00,0.0000000000000000e+00
33,0.6878206588967370,0.6204495139475229,0.0082537152130190,0.8875122152019242,0.1534617133756921,0.6629704004994208,0.5477180623987370,0.6629322764302528,0.5477850016293655,0.6629322764302528,0.5477850016293655,0.0000000000000000e+00,0.0000000000000000e+00
34,0.7353867894123878,0.9829749898407466,0.3976361879068465,0.4624339126317529,0.3183832176353292,0.5529129785021614,0.7550751877344009,0.5529131179170508,0.7550758606122885,0.5529131179170508,0.7550758606122885,0.0000000000000000e+00,0.0000000000000000e+00
35,0.6009462523604572,0.8489273195485250,0.3506628979339845,0.2888529203115734,0.8678009793663987,0.5717437812702226,0.7768960254359437,0.5717438412610415,0.7768960061583233,0.5717438412610415,0.7768960061583233,0.0000000000000000e+00,0.0000000000000000e+00
36,0.5723623225610264,0.8065372494665060,0.3649351717402549,0.9006451830624952,0.5055317486338219,0.5993907783117700,0.7821291278643374,0.5993907632370479,0.7821291417052261,0.5993907632370479,0.7821291417052261,0.0000000000000000e+00,0.0000000000000000e+00
37,0.7383383645884481,0.5123927833413470,0.1138252277088474,0.5606707689186775,0.5318366466775467,0.7766776697792372,0.4918217182657181,0.7766788270686928,0.4918215038797215,0.7766788270686927,0.4918215038797214,1.1102230246251565e-16,5.5511151231257827e-17
38,0.6189164875444244,0.5984688010031315,0.0880406290981756,0.3604842950300413,0.7224081970533516,0.6564357908218486,0.6294895485416440,0.6564380683793967,0.6294888334664634,0.6564380683793968,0.6294888334664634,1.1102230246251565e-16,0.0000000000000000e+00
39,0.8315107174476050,0.8150598206270776,0.1703466232701707,0.0444070036278168,0.5778928152213265,0.6066275156840000,0.5813174228421842,0.6069020684209923,0.5813190952027176,0.6069020684209923,0.5813190952027176,0.0000000000000000e+00,0.0000000000000000e+00
